lower_desig,upper_desig,log_gf
1|2P3),a3P4p_y4D0*,-6.78126
1|2P3),a3P4p_y4D0*,-5.61693
2|3P2)2P,a3P4p_y4D0*,-5.38541
2|3P2)4P,a3P4p_y4D0*,-4.54385
2|3P2)4P,a3P4p_y4D0*,-5.13926
2|3F2)4F,a3P4p_y4D0*,-3.05728
3|4F3)4F,a3P4p_y4D0*,-3.37569
1|2D3),a3P4p_y4D0*,-5.28083
2|1D4)2D,a3P4p_y4D0*,-4.30335
1|2S5),a3P4p_y4D0*,-4.51028
2|3D4)2D,a3P4p_y4D0*,-4.53107
2|1S4)2S,a3P4p_y4D0*,-4.04121
2|3D4)4D,a3P4p_y4D0*,-3.46526
2|3D4)4D,a3P4p_y4D0*,-3.80846
2|3P4)2P,a3P4p_y4D0*,-3.95012
2|3P4)2P,a3P4p_y4D0*,-2.21783
1|4F3),a3P4p_y4D0*,-1.82967
1|2D5),a3P4p_y4D0*,-2.75762
2|3F4)4F,a3P4p_y4D0*,-1.33760
2|3P4)4P,a3P4p_y4D0*,-1.21765
2|3P4)4P,a3P4p_y4D0*,-.41565
1|4D5),a3P4p_y4D0*,-2.60377
1|4D5),a3P4p_y4D0*,-2.96637
1|4P3),a3P4p_y4D0*,-1.87161
1|4P3),a3P4p_y4D0*,-1.27535
2|5D4)4D,a3P4p_y4D0*,-3.41511
2|5D4)4D,a3P4p_y4D0*,-3.03851
2|5D4)6D,a3P4p_y4D0*,-6.99960
2|5D4)6D,a3P4p_y4D0*,-5.60052
1|2P3),a3P4p_y4D1*,-5.79225
2|3F2)2F,a3P4p_y4D1*,-6.54789
2|3P2)2P,a3P4p_y4D1*,-6.09222
2|3P2)2P,a3P4p_y4D1*,-5.86221
2|3P2)4P,a3P4p_y4D1*,-4.48033
2|3P2)4P,a3P4p_y4D1*,-4.28589
2|3P2)4P,a3P4p_y4D1*,-5.57366
2|3F2)4F,a3P4p_y4D1*,-2.83202
2|3F2)4F,a3P4p_y4D1*,-3.38342
3|4F3)4F,a3P4p_y4D1*,-3.21199
3|4F3)4F,a3P4p_y4D1*,-3.87559
2|1F4)2F,a3P4p_y4D1*,-5.60048
1|2D3),a3P4p_y4D1*,-5.83681
1|2D3),a3P4p_y4D1*,-5.27572
2|1D4)2D,a3P4p_y4D1*,-4.36817
2|1D4)2D,a3P4p_y4D1*,-6.55025
1|2S5),a3P4p_y4D1*,-4.53174
2|3D4)2D,a3P4p_y4D1*,-5.00175
2|3D4)2D,a3P4p_y4D1*,-4.65259
2|1S4)2S,a3P4p_y4D1*,-3.95850
1|2F5),a3P4p_y4D1*,-4.37224
2|3D4)4D,a3P4p_y4D1*,-3.45551
2|3D4)4D,a3P4p_y4D1*,-3.27549
2|3D4)4D,a3P4p_y4D1*,-3.69881
2|3F4)2F,a3P4p_y4D1*,-3.78654
2|3P4)2P,a3P4p_y4D1*,-2.77153
2|3P4)2P,a3P4p_y4D1*,-2.50001
2|3G4)4G,a3P4p_y4D1*,-3.04211
1|4F3),a3P4p_y4D1*,-1.65273
1|4F3),a3P4p_y4D1*,-2.19580
1|2F3),a3P4p_y4D1*,-2.61624
1|2D5),a3P4p_y4D1*,-3.28797
1|2D5),a3P4p_y4D1*,-2.24269
2|3F4)4F,a3P4p_y4D1*,-1.06767
2|3F4)4F,a3P4p_y4D1*,-1.73008
2|3P4)4P,a3P4p_y4D1*,-1.48564
2|3P4)4P,a3P4p_y4D1*,-.35080
2|3P4)4P,a3P4p_y4D1*,-.39270
1|4D5),a3P4p_y4D1*,-2.39915
1|4D5),a3P4p_y4D1*,-3.02960
1|4D5),a3P4p_y4D1*,-2.60797
1|4P3),a3P4p_y4D1*,-1.11108
1|4P3),a3P4p_y4D1*,-1.29771
1|4P3),a3P4p_y4D1*,-2.01375
1|4G5),a3P4p_y4D1*,-4.58081
2|5D4)4D,a3P4p_y4D1*,-3.46596
2|5D4)4D,a3P4p_y4D1*,-2.94488
2|5D4)4D,a3P4p_y4D1*,-2.89657
2|5D4)6D,a3P4p_y4D1*,-6.89770
2|5D4)6D,a3P4p_y4D1*,-6.33514
2|5D4)6D,a3P4p_y4D1*,-5.22223
1|6S5),a3P4p_y4D1*,-6.01546
1|2P3),a3P4p_y4D2*,-6.32694
2|3F2)2F,a3P4p_y4D2*,-6.29572
2|3F2)2F,a3P4p_y4D2*,-6.13940
2|3P2)2P,a3P4p_y4D2*,-6.27688
2|3P2)4P,a3P4p_y4D2*,-3.92898
2|3P2)4P,a3P4p_y4D2*,-4.19134
2|3F2)4F,a3P4p_y4D2*,-2.60837
2|3F2)4F,a3P4p_y4D2*,-3.20823
2|3F2)4F,a3P4p_y4D2*,-4.37871
3|4F3)4F,a3P4p_y4D2*,-3.15928
3|4F3)4F,a3P4p_y4D2*,-3.93818
3|4F3)4F,a3P4p_y4D2*,-5.49172
2|1F4)2F,a3P4p_y4D2*,-6.55667
2|1F4)2F,a3P4p_y4D2*,-5.05018
1|2D3),a3P4p_y4D2*,-5.62050
1|2D3),a3P4p_y4D2*,-5.14152
2|1D4)2D,a3P4p_y4D2*,-4.74091
2|1D4)2D,a3P4p_y4D2*,-5.51016
2|3D4)2D,a3P4p_y4D2*,-4.83820
2|3D4)2D,a3P4p_y4D2*,-4.16393
1|2F5),a3P4p_y4D2*,-4.09090
1|2F5),a3P4p_y4D2*,-4.94730
1|2F5),a3P4p_y4D2*,-5.30608
2|3G4)2G,a3P4p_y4D2*,-4.14044
2|3D4)4D,a3P4p_y4D2*,-3.22838
2|3D4)4D,a3P4p_y4D2*,-2.91435
2|3D4)4D,a3P4p_y4D2*,-3.75174
1|2G5),a3P4p_y4D2*,-4.56001
2|3F4)2F,a3P4p_y4D2*,-3.45840
2|3F4)2F,a3P4p_y4D2*,-3.45013
2|3P4)2P,a3P4p_y4D2*,-2.74462
2|3G4)4G,a3P4p_y4D2*,-2.67480
2|3G4)4G,a3P4p_y4D2*,-3.35837
1|4F3),a3P4p_y4D2*,-2.08239
1|4F3),a3P4p_y4D2*,-3.27654
1|4F3),a3P4p_y4D2*,-1.36947
1|2F3),a3P4p_y4D2*,-3.11897
1|2F3),a3P4p_y4D2*,-3.65419
1|2D5),a3P4p_y4D2*,-3.28944
1|2D5),a3P4p_y4D2*,-4.42359
2|3F4)4F,a3P4p_y4D2*,-.73608
2|3F4)4F,a3P4p_y4D2*,-1.48722
2|3F4)4F,a3P4p_y4D2*,-2.94306
2|3P4)4P,a3P4p_y4D2*,-.49949
2|3P4)4P,a3P4p_y4D2*,-.01643
2|3H4)4H,a3P4p_y4D2*,-3.80915
1|4D5),a3P4p_y4D2*,-2.61933
1|4D5),a3P4p_y4D2*,-2.37060
1|4D5),a3P4p_y4D2*,-2.39105
1|4P3),a3P4p_y4D2*,-.85583
1|4P3),a3P4p_y4D2*,-1.10967
1|4G5),a3P4p_y4D2*,-4.17111
1|4G5),a3P4p_y4D2*,-4.75630
2|5D4)4D,a3P4p_y4D2*,-3.71878
2|5D4)4D,a3P4p_y4D2*,-2.68459
2|5D4)4D,a3P4p_y4D2*,-2.63708
2|5D4)6D,a3P4p_y4D2*,-5.63694
2|5D4)6D,a3P4p_y4D2*,-5.89007
2|5D4)6D,a3P4p_y4D2*,-4.92153
1|6S5),a3P4p_y4D2*,-5.15547
2|1G2)2G,a3P4p_y4D3*,-6.62857
2|3F2)2F,a3P4p_y4D3*,-5.50733
2|3F2)2F,a3P4p_y4D3*,-5.52875
