#
# Relative radiance of NIST D_2 lamp 7 @ 300mA
# ( calibrated with Ar mini arc @ 45 A below 330 nm 
# and Tungsten strip lamp above 330 nm   12/98)
# valid range : 200 - 350 nm
#
# wavelength / nm     radiance / W cm^-3 sr^-1
190.84018316     19884.3081462
191.85470382     19921.30754764
192.86922448     19949.71272604
193.88374514     19969.79066407
194.89826581     19981.80318808
195.91278647     19986.00703439
196.92730713     19982.65391522
197.94182779     19971.99058394
198.95634845     19954.25889991
199.97086911     19929.69589271
200.98538977     19898.53382594
201.99991044     19861.0002604
203.0144311      19817.31811687
204.02895176     19767.70573828
205.04347242     19712.37695139
206.05799308     19651.54112801
207.07251374     19585.40324567
208.0870344      19514.16394777
209.10155507     19438.01960328
210.11607573     19357.16236587
211.13059639     19271.78023261
212.14511705     19182.05710212
213.15963771     19088.17283223
214.17415837     18990.3032972
215.18867903     18888.62044439
216.2031997      18783.29235041
217.21772036     18674.48327692
218.23224102     18562.35372578
219.24676168     18447.0604938
220.26128234     18328.75672705
221.275803       18207.59197457
222.29032366     18083.71224172
223.30484433     17957.26004297
224.31936499     17828.37445426
225.33388565     17697.19116492
226.34840631     17563.84252899
227.36292697     17428.45761625
228.37744763     17291.16226264
229.39196829     17152.07912026
230.40648896     17011.32770699
231.42100962     16869.02445548
232.43553028     16725.28276187
233.45005094     16580.21303387
234.4645716      16433.92273858
235.47909226     16286.51644967
236.49361292     16138.09589424
237.50813359     15988.75999918
238.52265425     15838.60493708
239.53717491     15687.72417174
240.55169557     15536.20850315
241.56621623     15384.14611214
242.58073689     15231.62260449
243.59525755     15078.72105467
244.60977822     14925.52204915
245.62429888     14772.10372919
246.63881954     14618.54183333
247.6533402      14464.90973932
248.66786086     14311.27850574
249.68238152     14157.71691312
250.69690218     14004.29150464
251.71142285     13851.06662647
252.72594351     13698.10446759
253.74046417     13545.46509934
254.75498483     13393.20651437
255.76950549     13241.38466537
256.78402615     13090.05350321
257.79854681     12939.26501482
258.81306748     12789.06926056
259.82758814     12639.51441126
260.8421088      12490.64678478
261.85662946     12342.51088226
262.87115012     12195.14942385
263.88567078     12048.60338421
264.90019144     11902.91202743
265.91471211     11758.11294171
266.92923277     11614.24207356
