waveumber,lower_key,upper_key,probability
394.3900,1|2P3),a3P4p_y4D0*,0.0000
423.9200,1|2P3),a3P4p_y4D0*,0.0000
4671.5200,2|3P2)2P,a3P4p_y4D0*,0.0000
8175.6700,2|3P2)4P,a3P4p_y4D0*,0.0006
8403.1400,2|3P2)4P,a3P4p_y4D0*,0.0002
8933.2600,2|3F2)4F,a3P4p_y4D0*,0.0233
10750.5300,3|4F3)4F,a3P4p_y4D0*,0.0162
16429.3500,1|2D3),a3P4p_y4D0*,0.0005
18132.5100,2|1D4)2D,a3P4p_y4D0*,0.0055
19494.7900,1|2S5),a3P4p_y4D0*,0.0039
20815.2600,2|3D4)2D,a3P4p_y4D0*,0.0043
23386.7900,2|1S4)2S,a3P4p_y4D0*,0.0166
25405.6500,2|3D4)4D,a3P4p_y4D0*,0.0737
25439.4500,2|3D4)4D,a3P4p_y4D0*,0.0335
28445.9900,2|3P4)2P,a3P4p_y4D0*,0.0303
29142.5600,2|3P4)2P,a3P4p_y4D0*,1.7153
30957.1200,1|4F3),a3P4p_y4D0*,4.7311
32270.6400,1|2D5),a3P4p_y4D0*,0.6069
32718.9400,2|3F4)4F,a3P4p_y4D0*,16.4100
33494.4400,2|3P4)4P,a3P4p_y4D0*,22.6675
33850.0000,2|3P4)4P,a3P4p_y4D0*,146.7494
38759.0700,1|4D5),a3P4p_y4D0*,1.2476
38766.4800,1|4D5),a3P4p_y4D0*,0.5416
41977.7700,1|4P3),a3P4p_y4D0*,7.8984
41978.0400,1|4P3),a3P4p_y4D0*,31.1748
44170.7100,2|5D4)4D,a3P4p_y4D0*,0.2502
44273.6300,2|5D4)4D,a3P4p_y4D0*,0.5983
51769.3000,2|5D4)6D,a3P4p_y4D0*,0.0001
51840.0700,2|5D4)6D,a3P4p_y4D0*,0.0022
683.7700,1|2P3),a3P4p_y4D1*,0.0000
4484.0700,2|3F2)2F,a3P4p_y4D1*,0.0000
4535.0000,2|3P2)2P,a3P4p_y4D1*,0.0000
4931.3700,2|3P2)2P,a3P4p_y4D1*,0.0000
8435.5200,2|3P2)4P,a3P4p_y4D1*,0.0004
8662.9900,2|3P2)4P,a3P4p_y4D1*,0.0006
9038.6300,2|3P2)4P,a3P4p_y4D1*,0.0000
9178.1900,2|3F2)4F,a3P4p_y4D1*,0.0207
9193.1100,2|3F2)4F,a3P4p_y4D1*,0.0058
10790.6400,3|4F3)4F,a3P4p_y4D1*,0.0119
11010.3800,3|4F3)4F,a3P4p_y4D1*,0.0027
13374.1100,2|1F4)2F,a3P4p_y4D1*,0.0001
16689.2000,1|2D3),a3P4p_y4D1*,0.0001
16707.2900,1|2D3),a3P4p_y4D1*,0.0002
18331.1500,2|1D4)2D,a3P4p_y4D1*,0.0024
18392.3600,2|1D4)2D,a3P4p_y4D1*,0.0000
19754.6400,1|2S5),a3P4p_y4D1*,0.0019
21075.1100,2|3D4)2D,a3P4p_y4D1*,0.0007
21163.7400,2|3D4)2D,a3P4p_y4D1*,0.0017
23646.6400,2|1S4)2S,a3P4p_y4D1*,0.0103
24319.6400,1|2F5),a3P4p_y4D1*,0.0042
25665.5000,2|3D4)4D,a3P4p_y4D1*,0.0385
25699.3000,2|3D4)4D,a3P4p_y4D1*,0.0584
25746.8700,2|3D4)4D,a3P4p_y4D1*,0.0221
28492.5300,2|3F4)2F,a3P4p_y4D1*,0.0221
28705.8400,2|3P4)2P,a3P4p_y4D1*,0.2325
29402.4100,2|3P4)2P,a3P4p_y4D1*,0.4559
30643.7400,2|3G4)4G,a3P4p_y4D1*,0.1421
31206.7800,1|4F3),a3P4p_y4D1*,3.6128
31216.9700,1|4F3),a3P4p_y4D1*,1.0353
31458.3300,1|2F3),a3P4p_y4D1*,0.3993
32530.4900,1|2D5),a3P4p_y4D1*,0.0909
32710.8300,1|2D5),a3P4p_y4D1*,1.0204
32944.3400,2|3F4)4F,a3P4p_y4D1*,15.4871
32978.7900,2|3F4)4F,a3P4p_y4D1*,3.3765
33197.2700,2|3P4)4P,a3P4p_y4D1*,6.0068
33754.2900,2|3P4)4P,a3P4p_y4D1*,84.7104
34109.8500,2|3P4)4P,a3P4p_y4D1*,78.5486
39014.9700,1|4D5),a3P4p_y4D1*,1.0125
39018.9200,1|4D5),a3P4p_y4D1*,0.2372
39026.3300,1|4D5),a3P4p_y4D1*,0.6264
42237.6200,1|4P3),a3P4p_y4D1*,23.0355
42237.8900,1|4P3),a3P4p_y4D1*,14.9890
42239.2100,1|4P3),a3P4p_y4D1*,2.8824
43549.6700,1|4G5),a3P4p_y4D1*,0.0083
44263.8500,2|5D4)4D,a3P4p_y4D1*,0.1117
44430.5600,2|5D4)4D,a3P4p_y4D1*,0.3737
44533.4800,2|5D4)4D,a3P4p_y4D1*,0.4196
51913.9100,2|5D4)6D,a3P4p_y4D1*,0.0001
52029.1500,2|5D4)6D,a3P4p_y4D1*,0.0002
52099.9200,2|5D4)6D,a3P4p_y4D1*,0.0027
64061.7300,1|6S5),a3P4p_y4D1*,0.0007
1070.8500,1|2P3),a3P4p_y4D2*,0.0000
4871.1500,2|3F2)2F,a3P4p_y4D2*,0.0000
4878.7100,2|3F2)2F,a3P4p_y4D2*,0.0000
5318.4500,2|3P2)2P,a3P4p_y4D2*,0.0000
9050.0700,2|3P2)4P,a3P4p_y4D2*,0.0011
9425.7100,2|3P2)4P,a3P4p_y4D2*,0.0006
9560.8400,2|3F2)4F,a3P4p_y4D2*,0.0250
9565.2700,2|3F2)4F,a3P4p_y4D2*,0.0063
9580.1900,2|3F2)4F,a3P4p_y4D2*,0.0004
10882.5300,3|4F3)4F,a3P4p_y4D2*,0.0091
11177.7200,3|4F3)4F,a3P4p_y4D2*,0.0016
11397.4600,3|4F3)4F,a3P4p_y4D2*,0.0000
13761.1900,2|1F4)2F,a3P4p_y4D2*,0.0000
13781.5700,2|1F4)2F,a3P4p_y4D2*,0.0002
17076.2800,1|2D3),a3P4p_y4D2*,0.0001
17094.3700,1|2D3),a3P4p_y4D2*,0.0002
18718.2300,2|1D4)2D,a3P4p_y4D2*,0.0007
18779.4400,2|1D4)2D,a3P4p_y4D2*,0.0001
21462.1900,2|3D4)2D,a3P4p_y4D2*,0.0007
21550.8200,2|3D4)2D,a3P4p_y4D2*,0.0035
24571.7400,1|2F5),a3P4p_y4D2*,0.0054
24706.7200,1|2F5),a3P4p_y4D2*,0.0008
24765.0600,1|2F5),a3P4p_y4D2*,0.0003
25939.8800,2|3G4)2G,a3P4p_y4D2*,0.0054
26086.3800,2|3D4)4D,a3P4p_y4D2*,0.0447
26133.9500,2|3D4)4D,a3P4p_y4D2*,0.0925
26179.2200,2|3D4)4D,a3P4p_y4D2*,0.0135
28347.2300,1|2G5),a3P4p_y4D2*,0.0025
28841.3100,2|3F4)2F,a3P4p_y4D2*,0.0322
